rank,palavra,assunto,contagem,encontrada
1,QUE1,NENHUM,15044152,sim
2,QUE2,NENHUM,15044152,sim
3,NÃO1,NENHUM,12169729,sim
4,NÃO2,NENHUM,12169729,sim
5,O,NENHUM,12005035,sim
6,A,NENHUM,8992538,sim
7,VOCÊ,NENHUM,7817147,sim
8,E,NENHUM,7345808,sim
9,EU,NENHUM,7212622,sim
10,UM1,NUMERAL_DINHEIRO,5737691,sim
11,UM2,NUMERAL_DINHEIRO,5737691,sim
12,PARA,NENHUM,4775301,sim
13,SE,NENHUM,3775219,sim
14,ELE,NENHUM,3369826,sim
15,ISSO,NENHUM,3323679,sim
16,POR_ISSO,NENHUM,3323679,sim
17,QUE-ISSO,NENHUM,3323679,sim
18,MAS1,NENHUM,2523053,sim
19,MAS2,NENHUM,2523053,sim
20,COMO1,NENHUM,2345682,sim
21,COMO2,NENHUM,2345682,sim
22,BEM1,NENHUM,2278717,sim
23,BEM2,NENHUM,2278717,sim
24,SIM,NENHUM,1839153,sim
25,AQUI,NENHUM,1798698,sim
26,MAIS2,NENHUM,1776468,sim
27,MAIS3,NENHUM,1776468,sim
28,MAIS4,NENHUM,1776468,sim
29,MAIS5,NENHUM,1776468,sim
30,MAIS6,NENHUM,1776468,sim
31,MAIS_1,NENHUM,1776468,sim
32,MEU1,NENHUM,1612386,sim
33,MEU2,NENHUM,1612386,sim
34,SEU,NENHUM,1585531,sim
35,MUITO1,NENHUM,1568458,sim
36,MUITO2,NENHUM,1568458,sim
37,MUITO3,NENHUM,1568458,sim
38,TUDO1,NENHUM,1353946,sim
39,TUDO2,NENHUM,1353946,sim
40,TUDO3,NENHUM,1353946,sim
41,TUDO_BEM,NENHUM,1353946,sim
42,SÓ1,NENHUM,1216595,sim
43,SÓ2,NENHUM,1216595,sim
44,AGORA,NENHUM,1181210,sim
45,SER1,NENHUM,1082215,sim
46,QUANDO1,NENHUM,1061663,sim
47,QUANDO2,NENHUM,1061663,sim
48,FAZER,NENHUM,1055940,sim
49,NÓS,NENHUM,985079,sim
50,CERTO2,NENHUM,918318,sim
51,JÁ,NENHUM,862736,sim
52,QUEM1,NENHUM,828918,sim
53,QUEM2,NENHUM,828918,sim
54,QUEM3,NENHUM,828918,sim
55,OU,NENHUM,828081,sim
56,NADA,NENHUM,816543,sim
57,ONDE,NENHUM,787679,sim
58,BOM1,NENHUM,774538,sim
59,BOM2,NENHUM,774538,sim
60,BOM3,NENHUM,774538,sim
61,TER,NENHUM,766268,sim
62,DIZER1,NENHUM,741447,sim
63,DIZER2,NENHUM,741447,sim
64,SOBRE1,NENHUM,734703,sim
65,SOBRE2,NENHUM,734703,sim
66,SOBRE3,NENHUM,734703,sim
67,MIM,NENHUM,730004,sim
68,PORQUE,NENHUM,711704,sim
69,ELE_MESMO,NENHUM,699330,sim
70,MESMO,NENHUM,699330,sim
71,COISA,NENHUM,669387,sim
72,ATÉ,NENHUM,625305,sim
73,TEMPO1,ANO_SIDERAL,621951,sim
74,TEMPO2,NENHUM,621951,sim
75,TEMPO3,PLANTA_FLOR_NATUREZA,621951,sim
76,ASSIM,NENHUM,620622,sim
77,NUNCA1,NENHUM,608898,sim
78,NUNCA2,NENHUM,608898,sim
79,ESSE,NENHUM,605824,sim
80,CASA,CASA,600389,sim
81,VER-NÃO,NENHUM,582702,sim
82,VER2,NENHUM,582702,sim
83,TAMBÉM,NENHUM,582225,sim
84,AINDA,NENHUM,558497,sim
85,CARA,NENHUM,531856,sim
86,FAVOR1,NENHUM,521946,sim
87,FAVOR2,NENHUM,521946,sim
88,FAVOR3,NENHUM,521946,sim
89,POR_FAVOR,NENHUM,521946,sim
90,IR1,NENHUM,521133,sim
91,IR2,NENHUM,521133,sim
92,IR3,NENHUM,521133,sim
93,IR4,NENHUM,521133,sim
94,IR5,NENHUM,521133,sim
95,IR6,NENHUM,521133,sim
96,MELHOR,NENHUM,520581,sim
97,NOITE2,NENHUM,514681,sim
98,NOITE1,PLANTA_FLOR_NATUREZA,514681,sim
99,SEM1,NENHUM,510910,sim
100,SEM2,NENHUM,510910,sim
101,SEM3,NENHUM,510910,sim
102,OBRIGADO1,NENHUM,503071,sim
103,OBRIGADO2,NENHUM,503071,sim
104,DIA_1,ANO_SIDERAL,495684,sim
105,DIA_2,ANO_SIDERAL,495684,sim
106,DIA_3,ANO_SIDERAL,495684,sim
107,DIA_4,ANO_SIDERAL,495684,sim
108,TALVEZ,NENHUM,490918,sim
109,PAI1,FAMÍLIA,487553,sim
110,PAI2,FAMÍLIA,487553,sim
111,DEUS,NENHUM,468950,sim
112,ALGUÉM,NENHUM,468942,sim
113,VIDA,NENHUM,456588,sim
114,SENHOR,NENHUM,453553,sim
115,ESTE,NENHUM,453034,sim
116,SEMPRE,NENHUM,449587,sim
117,ANOS,ANO_SIDERAL,449517,sim
118,VEZ1,NENHUM,438847,sim
119,VEZ2,NENHUM,438847,sim
120,VEZ3,NENHUM,438847,sim
121,VERDADE,NENHUM,435669,sim
122,DELE,NENHUM,426614,sim
123,FICAR1,NENHUM,424486,sim
124,FICAR2,NENHUM,424486,sim
125,FICAR3,NENHUM,424486,sim
126,CLARO1,NENHUM,416979,sim
127,CLARO2,NENHUM,416979,sim
128,CLARO3,NENHUM,416979,sim
129,DEPOIS,NENHUM,411019,sim
130,FALAR1,NENHUM,406564,sim
131,FALAR2,NENHUM,406564,sim
132,FALAR3,NENHUM,406564,sim
133,ANTES1,NENHUM,404707,sim
134,ANTES2,NENHUM,404707,sim
135,POUCO1,NENHUM,402632,sim
136,POUCO2,NENHUM,402632,sim
137,APENAS,NENHUM,385267,sim
138,HOMEM,NENHUM,383305,sim
139,BOA1,NENHUM,380027,sim
140,BOA2,NENHUM,380027,sim
141,BOA_VIDA,NENHUM,380027,sim
142,DOIS1,NUMERAL_DINHEIRO,378982,sim
143,DOIS2,NUMERAL_DINHEIRO,378982,sim
144,TODO1,NENHUM,366012,sim
145,TODO2,NENHUM,366012,sim
146,TODO3,NENHUM,366012,sim
147,TODO_DIA,NENHUM,366012,sim
148,FORA1,NENHUM,352879,sim
149,FORA2,NENHUM,352879,sim
150,ESTAR,NENHUM,352830,sim
151,QUAL1,NENHUM,351298,sim
152,QUAL2,NENHUM,351298,sim
153,QUAL3,NENHUM,351298,sim
154,HOJE2,ANO_SIDERAL,335062,sim
155,HOJE1,NENHUM,335062,sim
156,NINGUÉM2,ALIMENTO_BEBIDA,330982,sim
157,NINGUÉM1,NENHUM,330982,sim
158,NINGUÉM3,NENHUM,330982,sim
159,NINGUÉM4,NENHUM,330982,sim
160,NINGUÉM5,NENHUM,330982,sim
161,NOVO1,NENHUM,327125,sim
162,NOVO2,NENHUM,327125,sim
163,COMIGO,NENHUM,320834,sim
164,MUNDO,PLANTA_FLOR_NATUREZA,315223,sim
165,SABER,NENHUM,313726,sim
166,DAR,NENHUM,308480,sim
167,DAR2,NENHUM,308480,sim
168,GRANDE1,NENHUM,302177,sim
169,GRANDE2,NENHUM,302177,sim
170,DINHEIRO,NUMERAL_DINHEIRO,296405,sim
171,NOME,NENHUM,289740,sim
172,QUANTO,NUMERAL_DINHEIRO,284657,sim
173,QUALQUER,NENHUM,283792,sim
174,OUTRO,NENHUM,282121,sim
175,NOSSO,NENHUM,276632,sim
176,OI,NENHUM,273705,sim
177,FILHO,FAMÍLIA,267642,sim
178,HORA1,ANO_SIDERAL,258209,sim
179,HORA2,ANO_SIDERAL,258209,sim
180,HORA3,ANO_SIDERAL,258209,sim
181,SAIR1,NENHUM,241982,sim
182,SAIR2,NENHUM,241982,sim
183,PROBLEMA,NENHUM,237965,sim
